  table_name          |      column_name       |          data_type          | character_maximum_length |               column_default               | is_nullable 
------------------------------+------------------------+-----------------------------+--------------------------+--------------------------------------------+-------------
 analytics                    | id                     | integer                     |                          | nextval('analytics_id_seq'::regclass)      | NO
 analytics                    | question               | text                        |                          |                                            | NO
 analytics                    | answer                 | text                        |                          |                                            | NO
 analytics                    | feedback               | character varying           |                       50 |                                            | YES
 analytics                    | sources                | jsonb                       |                          |                                            | YES
 analytics                    | rouge1                 | double precision            |                          |                                            | YES
 analytics                    | rouge2                 | double precision            |                          |                                            | YES
 analytics                    | rougel                 | double precision            |                          |                                            | YES
 analytics                    | bert_p                 | double precision            |                          |                                            | YES
 analytics                    | bert_r                 | double precision            |                          |                                            | YES
 analytics                    | bert_f1                | double precision            |                          |                                            | YES
 analytics                    | cosine_similarity      | double precision            |                          |                                            | YES
 analytics                    | response_time          | double precision            |                          |                                            | YES
 analytics                    | user_id                | uuid                        |                          |                                            | YES
 analytics                    | office_code            | text                        |                          |                                            | YES
 analytics                    | chat_id                | character varying           |                      255 |                                            | YES
 analytics                    | username               | text                        |                          |                                            | YES
 analytics                    | title                  | text                        |                          |                                            | YES
 analytics                    | timestamp              | timestamp without time zone |                          | CURRENT_TIMESTAMP                          | NO
 chat_messages                | id                     | integer                     |                          | nextval('chat_messages_id_seq'::regclass)  | NO
 chat_messages                | user_id                | uuid                        |                          |                                            | NO
 chat_messages                | chat_id                | character varying           |                      255 |                                            | NO
 chat_messages                | message_index          | integer                     |                          |                                            | NO
 chat_messages                | sender                 | character varying           |                       50 |                                            | NO
 chat_messages                | content                | text                        |                          |                                            | YES
 chat_messages                | timestamp              | timestamp without time zone |                          | CURRENT_TIMESTAMP                          | YES
 document_embeddings          | id                     | text                        |                          |                                            | NO
 document_embeddings          | content                | text                        |                          |                                            | YES
 document_embeddings          | embedding              | USER-DEFINED                |                          |                                            | YES
 document_embeddings          | type                   | text                        |                          |                                            | YES
 document_embeddings          | hash_document          | text                        |                          |                                            | YES
 document_embeddings          | document_title         | text                        |                          |                                            | YES
 document_embeddings          | category               | text                        |                          |                                            | YES
 document_embeddings          | pdf_path               | text                        |                          |                                            | YES
 document_embeddings          | hash_chapter           | text                        |                          |                                            | YES
 document_embeddings          | chapter_title          | text                        |                          |                                            | YES
 document_embeddings          | chapter_number         | text                        |                          |                                            | YES
 document_embeddings          | hash_section           | text                        |                          |                                            | YES
 document_embeddings          | section_title          | text                        |                          |                                            | YES
 document_embeddings          | section_number         | text                        |                          |                                            | YES
 document_embeddings          | section_page_number    | text                        |                          |                                            | YES
 document_embeddings          | hash_subsection        | text                        |                          |                                            | YES
